crime_type,latitude,longitude,geometry
CRIMINAL DAMAGE,41.839303195,-87.639000957,POINT (-87.639000957 41.839303195)
CRIMINAL DAMAGE,41.840856037,-87.65686732,POINT (-87.65686732 41.840856037)
CRIMINAL DAMAGE,41.841233568,-87.637831421,POINT (-87.637831421 41.841233568)
CRIMINAL DAMAGE,41.83204543,-87.640044437,POINT (-87.640044437 41.83204543)
CRIMINAL DAMAGE,41.84091182,-87.651912438,POINT (-87.651912438 41.84091182)
CRIMINAL DAMAGE,41.83379249,-87.652255827,POINT (-87.652255827 41.83379249)
CRIMINAL DAMAGE,41.839126766,-87.643879955,POINT (-87.643879955 41.839126766)
CRIMINAL DAMAGE,41.847565598,-87.645749253,POINT (-87.645749253 41.847565598)
CRIMINAL DAMAGE,41.837651929,-87.641404086,POINT (-87.641404086 41.837651929)
CRIMINAL DAMAGE,41.842335101,-87.653134103,POINT (-87.653134103 41.842335101)
CRIMINAL DAMAGE,41.836227249,-87.648663182,POINT (-87.648663182 41.836227249)
CRIMINAL DAMAGE,41.846820192,-87.647298713,POINT (-87.647298713 41.846820192)
CRIMINAL DAMAGE,41.834967924,-87.654723953,POINT (-87.654723953 41.834967924)
CRIMINAL DAMAGE,41.833794726,-87.642520778,POINT (-87.642520778 41.833794726)
CRIMINAL DAMAGE,41.832137873,-87.644919999,POINT (-87.644919999 41.832137873)
CRIMINAL DAMAGE,41.841614764,-87.658022683,POINT (-87.658022683 41.841614764)
CRIMINAL DAMAGE,41.839180616,-87.661769402,POINT (-87.661769402 41.839180616)
CRIMINAL DAMAGE,41.824127071,-87.639854701,POINT (-87.639854701 41.824127071)
CRIMINAL DAMAGE,41.832165918,-87.650999807,POINT (-87.650999807 41.832165918)
CRIMINAL DAMAGE,41.83360445,-87.643737405,POINT (-87.643737405 41.83360445)
CRIMINAL DAMAGE,41.838000847,-87.649719493,POINT (-87.649719493 41.838000847)
CRIMINAL DAMAGE,41.835829436,-87.641353996,POINT (-87.641353996 41.835829436)
CRIMINAL DAMAGE,41.843257583,-87.63989405,POINT (-87.63989405 41.843257583)
CRIMINAL DAMAGE,41.83643902,-87.647820588,POINT (-87.647820588 41.83643902)
CRIMINAL DAMAGE,41.844452976,-87.658132299,POINT (-87.658132299 41.844452976)
CRIMINAL DAMAGE,41.834282364,-87.658536434,POINT (-87.658536434 41.834282364)
CRIMINAL DAMAGE,41.833455926,-87.651033809,POINT (-87.651033809 41.833455926)
CRIMINAL DAMAGE,41.83719701,-87.650219779,POINT (-87.650219779 41.83719701)
CRIMINAL DAMAGE,41.835173839,-87.657066601,POINT (-87.657066601 41.835173839)
CRIMINAL DAMAGE,41.839315182,-87.645096291,POINT (-87.645096291 41.839315182)
CRIMINAL DAMAGE,41.840725929,-87.645128882,POINT (-87.645128882 41.840725929)
CRIMINAL DAMAGE,41.835177728,-87.656795016,POINT (-87.656795016 41.835177728)
CRIMINAL DAMAGE,41.827217402,-87.637179624,POINT (-87.637179624 41.827217402)
CRIMINAL DAMAGE,41.846543549,-87.64646854,POINT (-87.64646854 41.846543549)
CRIMINAL DAMAGE,41.834506053,-87.638065718,POINT (-87.638065718 41.834506053)
CRIMINAL DAMAGE,41.83643902,-87.647820588,POINT (-87.647820588 41.83643902)
CRIMINAL DAMAGE,41.839091659,-87.652254686,POINT (-87.652254686 41.839091659)
CRIMINAL DAMAGE,41.841728842,-87.643051985,POINT (-87.643051985 41.841728842)
CRIMINAL DAMAGE,41.846215598,-87.648534673,POINT (-87.648534673 41.846215598)
CRIMINAL DAMAGE,41.845427986,-87.638934737,POINT (-87.638934737 41.845427986)
CRIMINAL DAMAGE,41.841069798,-87.659151389,POINT (-87.659151389 41.841069798)
CRIMINAL DAMAGE,41.834019789,-87.6388856,POINT (-87.6388856 41.834019789)
CRIMINAL DAMAGE,41.838874974,-87.660187273,POINT (-87.660187273 41.838874974)
CRIMINAL DAMAGE,41.840390847,-87.650138104,POINT (-87.650138104 41.840390847)
CRIMINAL DAMAGE,41.8442528,-87.641556841,POINT (-87.641556841 41.8442528)
CRIMINAL DAMAGE,41.846003856,-87.641593029,POINT (-87.641593029 41.846003856)
CRIMINAL DAMAGE,41.842397414,-87.650685598,POINT (-87.650685598 41.842397414)
CRIMINAL DAMAGE,41.825514196,-87.649679902,POINT (-87.649679902 41.825514196)
CRIMINAL DAMAGE,41.838052993,-87.645583205,POINT (-87.645583205 41.838052993)
CRIMINAL DAMAGE,41.837308892,-87.635958365,POINT (-87.635958365 41.837308892)
CRIMINAL DAMAGE,41.826585942,-87.646707594,POINT (-87.646707594 41.826585942)
CRIMINAL DAMAGE,41.823585985,-87.636151326,POINT (-87.636151326 41.823585985)
CRIMINAL DAMAGE,41.82970086,-87.646736684,POINT (-87.646736684 41.82970086)
CRIMINAL DAMAGE,41.841770623,-87.639965154,POINT (-87.639965154 41.841770623)
CRIMINAL DAMAGE,41.833826765,-87.643742358,POINT (-87.643742358 41.833826765)
CRIMINAL DAMAGE,41.826032822,-87.645994381,POINT (-87.645994381 41.826032822)
CRIMINAL DAMAGE,41.841716335,-87.655698572,POINT (-87.655698572 41.841716335)
CRIMINAL DAMAGE,41.829157781,-87.650929016,POINT (-87.650929016 41.829157781)
CRIMINAL DAMAGE,41.837845715,-87.66109713,POINT (-87.66109713 41.837845715)
CRIMINAL DAMAGE,41.837256525,-87.637731368,POINT (-87.637731368 41.837256525)
CRIMINAL DAMAGE,41.833743075,-87.652252682,POINT (-87.652252682 41.833743075)
CRIMINAL DAMAGE,41.833500558,-87.653469832,POINT (-87.653469832 41.833500558)
CRIMINAL DAMAGE,41.837229448,-87.660832026,POINT (-87.660832026 41.837229448)
CRIMINAL DAMAGE,41.841932752,-87.651461217,POINT (-87.651461217 41.841932752)
CRIMINAL DAMAGE,41.830724238,-87.648076037,POINT (-87.648076037 41.830724238)
CRIMINAL DAMAGE,41.836149819,-87.652256521,POINT (-87.652256521 41.836149819)
CRIMINAL DAMAGE,41.841726958,-87.643195131,POINT (-87.643195131 41.841726958)
CRIMINAL DAMAGE,41.832342311,-87.653441726,POINT (-87.653441726 41.832342311)
CRIMINAL DAMAGE,41.83473391,-87.652278872,POINT (-87.652278872 41.83473391)
CRIMINAL DAMAGE,41.84097894,-87.649353839,POINT (-87.649353839 41.84097894)
CRIMINAL DAMAGE,41.839381057,-87.641444175,POINT (-87.641444175 41.839381057)
CRIMINAL DAMAGE,41.839410287,-87.646313633,POINT (-87.646313633 41.839410287)
CRIMINAL DAMAGE,41.84097894,-87.649353839,POINT (-87.649353839 41.84097894)
CRIMINAL DAMAGE,41.834491445,-87.639280474,POINT (-87.639280474 41.834491445)
CRIMINAL DAMAGE,41.832791603,-87.647312771,POINT (-87.647312771 41.832791603)
CRIMINAL DAMAGE,41.833534915,-87.641301653,POINT (-87.641301653 41.833534915)
CRIMINAL DAMAGE,41.838977022,-87.660274278,POINT (-87.660274278 41.838977022)
CRIMINAL TRESPASS,41.823404728,-87.649827084,POINT (-87.649827084 41.823404728)
CRIMINAL TRESPASS,41.836833824,-87.648678734,POINT (-87.648678734 41.836833824)
CRIMINAL TRESPASS,41.835034084,-87.65106842,POINT (-87.65106842 41.835034084)
CRIMINAL TRESPASS,41.839204436,-87.646308495,POINT (-87.646308495 41.839204436)
CRIMINAL TRESPASS,41.828220311,-87.642386249,POINT (-87.642386249 41.828220311)
CRIMINAL TRESPASS,41.82661647,-87.639912224,POINT (-87.639912224 41.82661647)
CRIMINAL TRESPASS,41.844117484,-87.642784089,POINT (-87.642784089 41.844117484)
CRIMINAL TRESPASS,41.838052883,-87.645564858,POINT (-87.645564858 41.838052883)
WEAPONS VIOLATION,41.833515706,-87.64130186,POINT (-87.64130186 41.833515706)
WEAPONS VIOLATION,41.849292395,-87.644027731,POINT (-87.644027731 41.849292395)
WEAPONS VIOLATION,41.831764327,-87.64715862,POINT (-87.64715862 41.831764327)
PROSTITUTION,41.823404728,-87.649827084,POINT (-87.649827084 41.823404728)
PROSTITUTION,41.823580335,-87.636576974,POINT (-87.636576974 41.823580335)
NARCOTICS,41.836436889,-87.647923359,POINT (-87.647923359 41.836436889)
NARCOTICS,41.828192993,-87.649284489,POINT (-87.649284489 41.828192993)
NARCOTICS,41.844495875,-87.640453207,POINT (-87.640453207 41.844495875)
NARCOTICS,41.83482151,-87.646711313,POINT (-87.646711313 41.83482151)
NARCOTICS,41.828999227,-87.640488253,POINT (-87.640488253 41.828999227)
NARCOTICS,41.831565062,-87.654264539,POINT (-87.654264539 41.831565062)
NARCOTICS,41.835198696,-87.655231579,POINT (-87.655231579 41.835198696)
NARCOTICS,41.846820192,-87.647298713,POINT (-87.647298713 41.846820192)
NARCOTICS,41.843341565,-87.641533627,POINT (-87.641533627 41.843341565)
NARCOTICS,41.83520027,-87.655033408,POINT (-87.655033408 41.83520027)
NARCOTICS,41.828516739,-87.642394069,POINT (-87.642394069 41.828516739)
NARCOTICS,41.845124638,-87.646447016,POINT (-87.646447016 41.845124638)
NARCOTICS,41.833792211,-87.6494377,POINT (-87.6494377 41.833792211)
