rank,refresh_date,week,country_code,region_name,region_code,term,score,country_name
23,2022-06-30,2017-07-02,ID,Aceh,ID-AC,Anna,3,Indonesia
23,2022-06-30,2017-07-09,ID,Aceh,ID-AC,Anna,3,Indonesia
23,2022-06-30,2017-07-23,ID,Aceh,ID-AC,Anna,5,Indonesia
23,2022-06-30,2017-09-10,ID,Aceh,ID-AC,Anna,6,Indonesia
23,2022-06-30,2017-09-24,ID,Aceh,ID-AC,Anna,2,Indonesia
23,2022-06-30,2017-11-19,ID,Aceh,ID-AC,Anna,3,Indonesia
23,2022-06-30,2018-01-21,ID,Aceh,ID-AC,Anna,4,Indonesia
23,2022-06-30,2018-03-11,ID,Aceh,ID-AC,Anna,7,Indonesia
23,2022-06-30,2018-05-20,ID,Aceh,ID-AC,Anna,9,Indonesia
23,2022-06-30,2018-05-27,ID,Aceh,ID-AC,Anna,6,Indonesia
23,2022-06-30,2018-06-03,ID,Aceh,ID-AC,Anna,3,Indonesia
23,2022-06-30,2018-06-17,ID,Aceh,ID-AC,Anna,4,Indonesia
23,2022-06-30,2018-08-05,ID,Aceh,ID-AC,Anna,5,Indonesia
23,2022-06-30,2018-08-26,ID,Aceh,ID-AC,Anna,1,Indonesia
23,2022-06-30,2018-09-23,ID,Aceh,ID-AC,Anna,3,Indonesia
23,2022-06-30,2018-09-30,ID,Aceh,ID-AC,Anna,1,Indonesia
23,2022-06-30,2018-10-07,ID,Aceh,ID-AC,Anna,6,Indonesia
23,2022-06-30,2018-11-18,ID,Aceh,ID-AC,Anna,3,Indonesia
23,2022-06-30,2018-12-02,ID,Aceh,ID-AC,Anna,1,Indonesia
23,2022-06-30,2019-01-27,ID,Aceh,ID-AC,Anna,7,Indonesia
23,2022-06-30,2019-03-03,ID,Aceh,ID-AC,Anna,5,Indonesia
23,2022-06-30,2019-03-17,ID,Aceh,ID-AC,Anna,5,Indonesia
23,2022-06-30,2019-04-21,ID,Aceh,ID-AC,Anna,1,Indonesia
23,2022-06-30,2019-05-19,ID,Aceh,ID-AC,Anna,1,Indonesia
